Date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
2021-01-01,27.5,30.2,37.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-02,21.4,29.8,43.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-03,21.0,33.8,51.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-04,33.8,40.8,53.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-05,20.5,34.4,55.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-06,34.3,43.5,48.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-07,35.1,37.5,41.7,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2021-01-08,18.7,28.8,39.2,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2021-01-09,14.2,25.3,35.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-10,16.7,25.2,36.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-11,22.5,33.3,48.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-12,26.1,37.6,55.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-13,35.1,43.3,57.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-14,39.9,46.7,56.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-15,31.1,35.7,45.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-16,23.5,32.1,45.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-17,26.1,37.2,48.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-18,24.1,35.6,52.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-19,19.9,32.7,48.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-20,19.8,36.5,55.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-21,19.0,37.9,58.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-22,25.5,34.3,53.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-23,18.1,26.4,41.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-24,30.9,36.8,42.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-25,31.3,33.6,37.0,No data.,No data.,0.03,No data.,No data.,No data.,No data.,No data.
2021-01-26,20.1,25.1,31.6,No data.,No data.,0.60,No data.,No data.,No data.,No data.,No data.
2021-01-27,19.6,21.8,26.2,No data.,No data.,0.10,No data.,No data.,No data.,No data.,No data.
2021-01-28,22.6,25.9,35.2,No data.,No data.,0.03,No data.,No data.,No data.,No data.,No data.
2021-01-29,23.5,34.6,52.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-30,37.2,46.9,54.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-31,31.1,33.2,38.1,No data.,No data.,0.11,No data.,No data.,No data.,No data.,No data.
2021-02-01,17.1,27.0,39.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-02,23.7,33.4,50.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-03,33.8,44.5,63.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-04,28.8,40.7,59.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-05,21.7,32.0,47.1,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2021-02-06,12.0,23.2,42.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-07,4.3,7.2,15.3,No data.,No data.,0.04,No data.,No data.,No data.,No data.,No data.
2021-02-08,5.2,6.5,9.1,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2021-02-09,5.2,8.0,15.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-10,8.6,10.9,15.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
